DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,Yogunluk
2024-10-02 10:00:00,41.1245727539063,29.3609619140625,sxkcun,65,126,88,12,Az
2024-10-30 16:00:00,41.0586547851563,28.9544677734375,sxk9df,1,98,26,305,Cok
2024-10-03 07:00:00,41.0586547851563,28.9434814453125,sxk9dd,2,84,29,114,Orta
2024-10-01 19:00:00,41.0421752929688,28.9215087890625,sxk96p,1,47,16,107,Orta
2024-10-24 15:00:00,41.1026000976563,29.0643310546875,sxk9v6,6,54,29,9,Az
2024-10-17 04:00:00,40.9762573242188,29.3389892578125,sxkc5e,73,108,89,7,Az
2024-10-27 21:00:00,41.1685180664063,28.4490966796875,sxk4pq,20,83,44,9,Az
2024-10-26 20:00:00,40.9817504882813,28.9105224609375,sxk91u,30,92,65,98,Az
2024-10-21 02:00:00,41.1026000976563,28.8116455078125,sxk3zd,7,152,84,100,Orta
2024-10-01 19:00:00,40.9927368164063,28.7237548828125,sxk3jw,6,76,38,74,Az
2024-10-24 11:00:00,40.8389282226563,29.3170166015625,sxkb74,13,153,73,262,Orta
2024-10-15 08:00:00,41.1685180664063,28.5369873046875,sxk61q,62,181,103,167,Orta
2024-10-03 01:00:00,41.0092163085938,28.9434814453125,sxk969,3,82,29,47,Az
2024-10-14 14:00:00,40.9213256835938,29.3170166015625,sxkbg1,3,120,61,201,Orta
2024-10-02 00:00:00,41.1904907226563,28.6688232421875,sxk6k6,45,106,69,12,Az
2024-10-01 23:00:00,40.7949829101563,29.4378662109375,sxkbjf,2,142,72,312,Cok
2024-10-01 04:00:00,41.0147094726563,28.5589599609375,sxk33f,15,106,57,37,Az
2024-10-03 14:00:00,41.0147094726563,28.4930419921875,sxk326,25,109,73,110,Orta
2024-10-23 10:00:00,41.0971069335938,28.3502197265625,sxk1v1,48,128,86,186,Orta
2024-10-03 22:00:00,40.9652709960938,28.8446044921875,sxk903,19,69,52,5,Az
2024-10-09 14:00:00,41.0586547851563,28.5369873046875,sxk396,2,123,55,73,Az
2024-10-05 07:00:00,41.2014770507813,28.6138916015625,sxk67h,52,118,83,50,Az
2024-10-26 18:00:00,41.1904907226563,29.2071533203125,sxkf2d,3,180,93,353,Cok
2024-10-18 08:00:00,41.1245727539063,29.1302490234375,sxk9yy,26,103,61,39,Az
2024-10-08 05:00:00,40.9597778320313,29.1522216796875,sxk9p2,6,53,25,19,Az
2024-10-16 17:00:00,41.0092163085938,28.7677001953125,sxk3q9,2,55,30,77,Az
2024-10-21 15:00:00,40.9213256835938,29.1522216796875,sxk8z3,3,97,29,322,Cok
2024-10-18 02:00:00,41.2124633789063,27.9766845703125,sx7fkw,55,124,83,30,Az
2024-10-31 00:00:00,41.0092163085938,28.9215087890625,sxk961,8,89,45,31,Az
2024-10-16 08:00:00,41.0311889648438,29.2620849609375,sxkc3v,2,115,57,194,Orta
2024-10-01 02:00:00,41.1575317382813,28.7786865234375,sxk6nu,52,109,74,35,Az
2024-10-09 02:00:00,41.0202026367188,28.9105224609375,sxk93g,14,170,72,62,Az
2024-10-02 10:00:00,41.1245727539063,29.1412353515625,sxk9zn,8,88,44,45,Az
2024-10-12 11:00:00,41.0421752929688,28.8885498046875,sxk93r,6,131,52,502,Cok
2024-10-07 05:00:00,41.0861206054688,28.6358642578125,sxk3ex,8,154,56,152,Orta
2024-10-05 16:00:00,40.9707641601563,29.0643310546875,sxk9j6,1,62,18,56,Az
2024-10-15 20:00:00,41.0641479492188,28.7786865234375,sxk3wg,5,128,58,482,Cok
2024-10-08 05:00:00,41.1904907226563,29.1961669921875,sxkf26,36,150,89,112,Orta
